subject,catalog_nbr,units_maximum,course_title_long,prereq,hub
CASAH,419,4.0,SEM AVANT GARDE,,
CASAH,421,4.0,Undergraduate Seminar: Modern Architecture,,
CASAH,422,4.0,Seminar: American City,"(CASAH111 & CASAH112) - The study of the physical form of selected American cities, their patterns of growth and development",
CASAH,425,4.0,Seminar: Topics in Asian Art,"(CASAH111 & CASAH112) and two courses at the 200 level or higher, or consent of the instruct or",
CASAH,428,4.0,Seminar: Islamic Art,"(CASAH111 & CASAH112) and two courses at the 200 level or higher, or consent of the instruct or","Oral and/or Signed Communication, Writing- Intensive Course, Research and Information Literacy"
CASAH,429,4.0,Seminar: African Art,"(CASAH111 & CASAH112) and two courses at the 200 level or higher, or consent of the instruct or",
CASAH,430,4.0,Seminar in Greek and Roman Art,junior art history major and admission to the Courtauld Program,
CASAH,433,4.0,Seminar: Greek Art,(CASAH111 & CASAH112) and two courses at the 200 level or higher; or consent of the instruct or,
CASAH,434,4.0,Seminar: Roman Art,(CASAH111 & CASAH112) - Topic for 2000/2001: Pompeii,
CASAH,436,4.0,Seminar: Greek and Roman Art,(CASAH111 & CASAH112) - Topics vary: consult instructor,
CASAH,438,4.0,Seminar: Pompeii,,
CASAH,444,4.0,Seminar: Medieval Art,"(CASAH111 & CASAH112) and two courses at the 200 level or higher, or consent of the instruct or",
CASAH,451,4.0,Seminar: Renaissance Art,"(CASAH111 & CASAH112) and two courses at the 200 level or higher, or consent of the instruct or",
CASAH,458,4.0,Seminar: Northern Baroque Painting,,
CASAH,460,4.0,Seminar: Venice Art,,
CASAH,462,4.0,Seminar: Baroque Art,"(CASAH111 & CASAH112) and two courses at the 200 level or higher, or consent of the instruct or",
CASAH,466,4.0,Seminar: Eighteenth-Century Art,,
CASAH,482,4.0,Seminar: Nineteenth-Century Art,(CASAH111 & CASAH112) and two courses at the 200 levelor higher; or consent of the instructo r,
CASAH,485,4.0,Seminar: American Architecture,(CASAH111 & CASAH112) - Topic for 2001/2002: Frank Lloyd Wright in Context,
CASAH,486,4.0,Architecture Capstone,,
CASAH,487,4.0,Seminar: American Art,(CASAH111 & CASAH112) - Focus on a special topic in American art,
CASAH,491,6.0,Directed Study,approval of the Academic Advising Center,
CASAH,492,6.0,Directed Study,approval of the Academic Advising Center,
CASAH,494,4.0,Seminar: Photography,"(CASAH111 & CASAH112) and two courses at the 200 level or higher, or consent of the instruct or",
CASAH,495,4.0,Seminar: Twentieth Century Art,"(CASAH111 & CASAH112) and two courses at the 200 level or higher, or consent of the instruct or","Oral and/or Signed Communication, Aesthetic Exploration, Research and Information Literacy"
CASAH,497,4.0,Seminar: Contemporary Art,"(CASAH111 & CASAH112) and two courses at the 200 level or higher, or consent of the instruct or",
CASAH,500,4.0,Topics in History of Art & Architecture,,
CASAH,501,4.0,Practicum in Museum Studies,"consent of the Director of Museum Studies, and stamped approval; prior museum/gallery experience an asset",
CASAH,502,4.0,Practicum in Museum Studies,"consent of the Director of Museum Studies, and stamped approval; prior museum/gallery experience an asset",
CASAH,503,4.0,Art Historical Methods,junior standing and at least two 300-level AH courses,
CASAH,504,4.0,Topics in Religion and the Visual Arts,junior standing or consent of instructor,
CASAH,507,4.0,"Digital Curation: Towards National Parks: Art and Nature, Nature and Nation","CASAH 112, or at least one course on art or literature in Europe/US 1300-1750 or 1750-present","Aesthetic Exploration, Digital/Multimedia Expression, Creativity/Innovation"
CASAH,520,4.0,The Museum and The Historical Agency,,
CASAH,521,4.0,Curatorship,consent of instructor,
CASAH,524,4.0,"The Object and the Museum: Acquisitions, Collections Care, and Educational Policies at the Museum of",,
CASAH,525,4.0,American Cultural Landscape Studies,junior standing or consent of instructor,
CASAH,527,4.0,Topics in Art and Society,,
CASAH,528,4.0,Landscapes: Art and Environment in China,"First-Year Writing Seminar (e.g., CASWR 100 or 120)",
CASAH,529,4.0,Seminar: Twentieth-Century Chinese Art,"(CASAH111 & CASAH112) and two courses at the 200 level or higher, or consent of instructor",
CASAH,530,4.0,American Art and the City,,
CASAH,531,4.0,Modern Asian Art in a Global Context,,
CASAH,532,4.0,Japanese Print Culture,junior standing or permission of instructor,
CASAH,533,4.0,Seminar: Greek Art and Architecture,"First Year Writing Seminar (e.g., CASWR 100 or WR 120) - Topic for Spring 2026:  Examines Athenian comedy and tragedy though texts and vases by focusing on the relationships between visual and textual evidence, the experience of drama, the relation of 5th c","Writing-Intensive Course, Oral and/or Signed Communication, Research and Information Literacy"
CASAH,534,4.0,Seminar in Roman Art,junior standing or consent of instructor,
CASAH,535,4.0,Modern Asian Art,,
CASAH,539,4.0,Muslim Societies: An Interdisciplinary History,junior standing or consent of instructor,
CASAH,540,4.0,Europe and the Islamic World: Medieval and Early-Modern Cultural Exchange,junior standing or consent of instructor,
CASAH,541,4.0,Courtly Commissions: Ottoman Art and Architecture,junior standing or consent of instructor,
CASAH,543,4.0,Latin American Art and the Cold War,junior standing or above,
CASAH,546,4.0,Places of Memory: Historic Preservation Theory and Practice,,
CASAH,547,4.0,Gothic Art,,
CASAH,548,4.0,Global Heritage Conservation,consent of instructor,
CASAH,550,4.0,Renaissance Art 1,,
CASAH,553,4.0,Documenting Historic Buildings and Landscapes,,
CASAH,554,4.0,Boston Architectural and Community History Workshop,,
CASAH,555,4.0,Ancient American Writing Systems,,
CASAH,557,4.0,High Renaissance and Mannerist Art in Italy,,
CASAH,563,4.0,Global Baroque: Art and Power in the Seventeenth Century,junior standing or consent of instructor,
CASAH,564,4.0,RUBENS,,
CASAH,565,4.0,The Print in Northern Renaissance and Baroque Art,junior standing or consent of instructor,
CASAH,570,4.0,Seventeenth- and Eighteenth-Century American Architecture,,
CASAH,571,4.0,Problems in African Diaspora Art History,,
CASAH,572,4.0,Gilded Age America: Visual Culture from 1865-1900,,
CASAH,574,4.0,Topics in African Art,,
CASAH,575,4.0,From Studio to Savannah: Photography in Africa,,
CASAH,576,4.0,Collections: Ancient and Historical in Modern Context,,
CASAH,580,4.0,Architectural Technology and Materials,junior standing or consent of instructor,
CASAH,582,4.0,Historic Houses,,
CASAH,583,4.0,English Country House and America's Cottages,,
CASAH,584,4.0,Greater Boston: Architecture and Planning,,
CASAH,585,4.0,Twentieth-Century Architecture and Urbanism,junior standing or permission of instructor,
CASAH,586,4.0,"Early Modern America: Visual Culture, 1900-1930",,
CASAH,587,4.0,Green Design,"junior, senior, or graduate standing",
CASAH,589,4.0,Topics in Nineteenth Century Art,junior or senior standing (or graduate student),
CASAH,591,4.0,Seminar in Photographic History,"junior or senior standing, or consent of instructor",
CASAH,592,4.0,Twentieth-Century Painting and Sculpture,,
CASAH,593,4.0,Atonality and Abstraction,consent of instructor,
CASAH,595,4.0,English Country House ,,
CASAH,596,4.0,Seminar: Contemporary Art,"junior or senior standing, or consent of instructor",
CASAH,597,4.0,The Baroque,junior standing or consent of instructor,
CASAH,598,4.0,The Sister Arts,consent of instructor,
CASAH,692,2.0,Twentieth-Century Art from 1940 to 1980,,
CASAH,693,2.0,Contemporary Art: 1980 to Now,,
CASAH,713,4.0,Imperial Reflections: Early Modern Islamic Art and Architecture,,
CASAH,716,4.0,African Diaspora Arts in the Americas,graduate standing,
CASAH,726,4.0,Colloquium in Japanese Art,graduate standing or consent of instructor,
CASAH,727,4.0,Colloquium in Chinese Art,,"Global Citizenship and Intercultural Literacy, Aesthetic Exploration, Research and Information Literacy"
CASAH,728,0.0,Colloquium in Chinese Art Discussion,,
CASAH,731,4.0,Arts of Archaic Greece,,
CASAH,733,4.0,Colloquium in Greek Art and Architecture,,
CASAH,734,0.0,Colloquium in Greek Art and Architecture Discussion,,
CASAH,742,4.0,Colloquium in Latin American Art,,
CASAH,745,4.0,Colloquium in Early Medieval and Romanesque Art,,
CASAH,757,4.0,Colloquium in Renaissance Art,,
CASAH,769,4.0,American Vernacular Architecture,,
CASAH,777,4.0,Housing America,,
CASAH,779,4.0,American Art and Culture in the Nineteenth Century,,
CASAH,782,4.0,Colloquium in Nineteenth-Century Architecture in Europe and America,,
CASAH,786,4.0,Colloquium in Twentieth-Century American Painting,,
CASAH,791,4.0,Midcentury Modernisms,,
CASAH,798,4.0,Colloquium in Twentieth-Century Architecture,,
CASAH,802,4.0,Seminar: Art Historical Writings,,
CASAH,805,4.0,Professional Development and Placement Seminar,completion of PhD oral exam,
CASAH,812,4.0,Seminar: Portraiture,,
CASAH,813,4.0,Seminar: Topics in Islamic Art and Architecture,,
CASAH,820,4.0,Seminar: Asian Art,graduate standing,
CASAH,822,4.0,Seminar: African Art,graduate standing or consent of instructor,
CASAH,833,4.0,Seminar: Greek Art and Architecture,,
CASAH,846,4.0,Seminar: Romanesque and Gothic Art,graduate standing or consent of instructor,
CASAH,853,4.0,Renaissance Portraiture,,
CASAH,863,4.0,Seminar: Baroque Art and Architecture,,
CASAH,867,4.0,Material Culture,graduate standing or consent of instructor,
CASAH,868,4.0,BAR/ROCOCO ARCH,,
CASAH,884,4.0,Seminar: Nineteenth-Century Architecture,,
